object_number,split,title,d_A,z_A,d_B,z_B,combined,rank_combined,dominant_signal,driver_A,driver_B_1,driver_B_2,z_grad_mag_mean,z_grad_mag_std,z_grad_orient_entropy,z_laplacian_var,z_lbp_entropy,z_glcm_contrast,z_lab_chroma_mean,z_hue_circ_std
SK-C-1474,pupil,Johannes Wttenbogaert (1557-1644). Remonstrant Minister in The Hague,0.32456923,-0.94954923,0.68587771,-0.36498304,-1.31453227,90,B,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,-0.87320981,-1.02477922,0.57303431,-0.61565746,0.71138454,-0.70446790,-0.27267465,0.40824161
SK-A-1577,pupil,Abraham Entertaining the Three Angels,0.31329103,-1.06984152,0.74857657,-0.29235738,-1.36219890,91,B,embed_cosine_to_centroid,lab_chroma_mean,lbp_entropy,0.78393589,0.54401917,0.62882259,-0.28308757,0.79438586,0.03443782,1.44003353,0.62524788
SK-A-4702,pupil,Old Woman Reading,0.31658816,-1.03467462,0.71735291,-0.32852453,-1.36319915,92,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,0.73563860,0.26841305,0.64544265,0.18878181,0.56912633,0.24106076,1.06920201,1.23535787
SK-A-43,pupil,Portrait of a Man,0.28470769,-1.37470879,0.98971304,-0.01304299,-1.38775178,93,B,embed_cosine_to_centroid,lbp_entropy,lab_chroma_mean,-0.92953724,-0.73210923,0.20765426,-0.71721876,-1.62219335,-0.80470139,1.17542387,1.10364482
SK-A-44,pupil,"Portrait of Michiel Adriaenszoon de Ruyter (1607-1676), Vice Admiral",0.29165692,-1.30058896,0.90717208,-0.10865225,-1.40924120,94,B,embed_cosine_to_centroid,hue_circ_std,lab_chroma_mean,-0.36883657,-0.26964096,0.57178321,-0.16080386,0.61653495,-0.25615723,0.85977546,2.19936425
SK-A-245,pupil,"Meisje aan het venster, bekend als 'De peinzende'",0.29908686,-1.22134191,0.81888761,-0.21091435,-1.43225626,95,B,embed_cosine_to_centroid,grad_mag_std,hue_circ_std,-0.68410873,-1.32515255,0.61787600,-0.54279150,0.78462153,-0.68482138,0.68068621,-0.95720579
SK-A-2695,pupil,Koning David,0.30174907,-1.19294698,0.73374294,-0.30953955,-1.50248653,96,B,embed_cosine_to_centroid,lab_chroma_mean,hue_circ_std,0.90707781,-0.00174105,0.59468557,0.63447672,-0.17323028,0.55832560,1.09944494,1.08513106
SK-A-838,pupil,Maerten Harpertsz Tromp (1598-1653). Luitenant-admiraal,0.30165513,-1.19394899,0.73067642,-0.31309157,-1.50704056,97,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-0.00610960,-0.94223972,0.68101304,-0.26033303,0.50211298,-0.32576912,0.90893781,-1.29123519
SK-A-3982,cohort,Portret van Dr. Ephraïm Bueno,0.32489635,-0.94606018,0.50590691,-0.57344771,-1.51950789,98,B,embed_cosine_to_centroid,lbp_entropy,lab_chroma_mean,-0.40591114,-0.55794029,0.39549016,-0.45098595,0.74316206,-0.49025915,-0.64000070,-0.09709595
SK-A-839,pupil,Cornelia Teding van Berkhout (1614-80). Echtgenote van Maerten Harpertsz Tromp,0.32217575,-0.97507782,0.52343676,-0.55314245,-1.52822027,99,B,embed_cosine_to_centroid,lbp_entropy,hue_circ_std,0.38230001,-0.76188162,0.31993959,0.20951121,-0.79309592,0.10316409,0.23971392,-0.78861172
SK-A-4888,pupil,Portret van Pieter Groenendijk,0.30741318,-1.13253406,0.58482223,-0.48203813,-1.61457219,100,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-0.44758368,-0.68132526,0.48484683,-0.42253317,0.64364474,-0.47742892,-0.16088656,0.99493160
SK-C-216,cohort,"Portret van een paar als Isaak en Rebekka, bekend als 'De Joodse bruid'",0.28948199,-1.32378655,0.73001644,-0.31385605,-1.63764260,101,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_std,0.75669697,0.84749026,0.65734123,-0.08499563,0.83336527,0.20087513,1.05309151,0.83029512
SK-A-1646,pupil,"Portrait of Catharina Pottey, Sister of Willem and Sara Pottey",0.31367954,-1.06569762,0.48225469,-0.60084468,-1.66654229,102,B,embed_cosine_to_centroid,grad_mag_std,grad_mag_mean,0.73005228,-0.85703781,0.48479918,-0.12274829,0.38094516,-0.07454774,0.15039732,0.41191407
SK-A-4050,cohort,Self Portrait as the Apostle Paul,0.29358040,-1.28007325,0.59531380,-0.46988548,-1.74995873,103,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_mean,-0.80451136,-0.78280855,0.39013529,-0.23059560,0.39316366,-0.43977604,-0.80592120,-0.61015649
SK-A-42,pupil,Zelfportret,0.27445990,-1.48401085,0.74818227,-0.29281411,-1.77682496,104,B,embed_cosine_to_centroid,hue_circ_std,lbp_entropy,0.51355241,0.09886723,0.65151061,0.02220741,0.73933514,0.10651549,0.52906435,1.71518879
SK-A-3340,cohort,Borstbeeld van een man in oosterse kleding,0.31208377,-1.08271795,0.33890289,-0.76689264,-1.84961059,105,B,embed_cosine_to_centroid,lbp_entropy,grad_orient_entropy,0.29433371,-0.13768317,0.57567469,0.14212844,0.66841104,0.10074098,-0.05650145,0.03919250
SK-A-5092,cohort,The Standard Bearer,0.26290050,-1.60730242,0.73842228,-0.30411935,-1.91142178,106,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-0.69055074,-0.98777867,0.45257693,-0.59196700,0.37269801,-0.69481260,0.39116395,-1.25683899
SK-A-684,pupil,Maria Rey (1630/31-1703). Echtgenote van Roelof Meulenaer,0.30311932,-1.17833207,0.35882279,-0.74381892,-1.92215099,107,B,embed_cosine_to_centroid,lab_chroma_mean,grad_mag_std,0.11351318,0.42140119,-0.25413580,-0.24078769,0.39200358,-0.10964027,-0.63130905,0.39084974
SK-A-3969,pupil,"Ernestus van Beveren (1660-1722), Lord of West-Ysselmonde and de Lindt, Alderman, Burgomaster and from 1704 on Postmaster of Dordrecht",0.25965683,-1.64189912,0.57530359,-0.49306381,-2.13496293,108,B,embed_cosine_to_centroid,hue_circ_std,grad_mag_std,-0.63896121,-0.76144982,0.49645309,-0.46811947,0.46744746,-0.55860349,-0.23764882,0.77916174
